
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
54:65:DE:30:58:C0, 2019-07-15 11:42:16, 2019-07-15 11:42:25,  6, 195, WPA2, CCMP, PSK, -79,        4,        0,   0.  0.  0.  0,   9, TG1672GC2, 
54:65:DE:51:79:20, 2019-07-15 11:42:08, 2019-07-15 11:42:27,  1, 195, WPA2, CCMP, PSK, -77,        3,        0,   0.  0.  0.  0,   9, Schnauzer, 
B4:2A:0E:F5:3B:BB, 2019-07-15 11:42:16, 2019-07-15 11:42:35,  6, 195, WPA2, CCMP, PSK, -75,        6,        0,   0.  0.  0.  0,  10, F53BB7-2.4, 
2C:30:33:DE:D0:CE, 2019-07-15 11:42:12, 2019-07-15 11:42:31,  9, 195, WPA2, CCMP, PSK, -75,        3,        1,   0.  0.  0.  0,  11, 56Spyndr2.4, 
9C:3D:CF:06:ED:04, 2019-07-15 11:42:16, 2019-07-15 11:42:35,  6,  52, WPA2, CCMP, PSK, -60,       24,        0,   0.  0.  0.  0,   9, NETGEAR76, 
10:DA:43:B5:98:EF, 2019-07-15 11:42:08, 2019-07-15 11:42:27,  1, 130, WPA2, CCMP, PSK, -44,        8,        0,   0.  0.  0.  0,  15, NETGEAR44_2GEXT, 
48:E2:44:EA:68:60, 2019-07-15 11:42:16, 2019-07-15 11:42:35,  6, 195, WPA2, CCMP, PSK, -44,        8,        0,   0.  0.  0.  0,   5, Hanna, 
B0:7F:B9:DC:2E:BB, 2019-07-15 11:42:08, 2019-07-15 11:42:27,  1, 195, WPA2, CCMP, PSK, -23,        8,        0,   0.  0.  0.  0,   9, NETGEAR44, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
06:78:9B:CC:DD:CB, 2019-07-15 11:42:12, 2019-07-15 11:42:12, -78,        2, (not associated) ,

